"","rowname","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","r","N2"
"18","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0,5
"19","CEchoices[3]",0.7997,0.0207111547606853,2.10245117066872,-1,-1,1,3,5,10304.8863992101,1.00000654936971,0,5
"20","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0,5
"21","CEchoices[1]",1,NA,0,1,1,1,1,1,NA,NA,0,6
"22","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0,6
"23","CEchoices[3]",0.89846,0.0217804201443475,2.1359077071556,-1,-1,0,1.8,5.4,9616.84152924473,1.00007118080742,0,6
"24","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0,6
"25","CEchoices[1]",1,NA,0,1,1,1,1,1,NA,NA,0,7
"26","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0,7
"27","CEchoices[3]",0.910845454545455,0.0224794412011192,2.20467091298441,-1,-1,0.818181818181817,2.45454545454545,5.72727272727273,9618.70315722387,1.00002280436031,0,7
"28","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0,7
