"","par","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"1","MU[1]",-3.04651690542629,0.000949185518949777,0.051348804763431,-3.15388160942016,-3.07898396235163,-3.0441000487204,-3.01167355569636,-2.95335542155732,2926.56699456109,1.00022832414649
"2","MU[2]",3.4693583894227,0.0114771184764458,0.736747724608613,2.16116514465444,2.94973501905516,3.41987951788266,3.95313201739569,4.9905565743112,4120.70834189481,0.999609509306778
"3","TAU[1]",0.167640512129983,0.00198642926507533,0.0592716963582158,0.041756173548538,0.129599545592939,0.168446695108982,0.204593411469833,0.287216169664114,890.324868445993,1.00353476088225
"4","TAU[2]",0.55653372214441,0.00892469408706877,0.436897032334735,0.0203582545632528,0.21616761475653,0.453555833962686,0.798086657567322,1.62184340855425,2396.46732617159,0.999263268091445
"5","L_Omega[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"6","L_Omega[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"7","L_Omega[2,1]",0.0157524165093911,0.00448932382823504,0.331336120677061,-0.615108428349088,-0.219338775391216,0.0237748065098906,0.255387987405134,0.623352171667741,5447.22982904917,0.999996194380712
"8","L_Omega[2,2]",0.940124557449105,0.00202625513090306,0.0785050294952233,0.723655607569358,0.91591455284078,0.97083378112796,0.993277666878488,0.999929560817958,1501.08991451829,1.00172137583012
"9","sigma[1]",0.0428244668872869,8.50151716519679e-05,0.00540545682690087,0.0322798027604371,0.0391495877944702,0.0428489146018847,0.0465471032310339,0.0535071956409018,4042.70390484602,0.999589635427639
"10","sigma[2]",0.0523253365376034,0.000109658418166365,0.00722759585980898,0.0396764535280878,0.0475129933329676,0.0516444145703196,0.0565326599294375,0.0685098262364505,4344.13954211954,1.00007899814308
"11","sigma[3]",0.0500152476130241,8.80401668961809e-05,0.00601082270164463,0.0385073087408237,0.0461526155670998,0.049735381426971,0.0536146011120896,0.0632322422494681,4661.28998311364,0.999416231867818
"12","sigma[4]",0.0508627629193475,9.20554586049173e-05,0.00635089374613815,0.0394633372119448,0.0466488030375711,0.0503631722173822,0.0545144752301865,0.0651378539891504,4759.60159933102,0.99966710346744
"13","sigma[5]",0.050401295616591,9.23910122390994e-05,0.00676829605941506,0.0387169380273376,0.0458437625025656,0.0498501511729908,0.0543148286336686,0.0652560075506749,5366.60022134254,0.999608284158002
"14","sigma[6]",0.0431087299489721,7.80436031861098e-05,0.00528492150012528,0.0328779125324907,0.0395283310187909,0.0430936434817868,0.0466172772521182,0.0535099776166576,4585.66640305865,0.999617003991677
"15","sigma[7]",0.0474522635732792,8.77557524624329e-05,0.00661981413908004,0.0352134279520682,0.0432359947542882,0.0471784025198397,0.051251300338301,0.0621496988345521,5690.36865548339,0.99954365159105
"16","sigma[8]",0.0501448401266587,0.000115484712489047,0.00811208762932009,0.0366721607953309,0.0447316799227181,0.0493073468231051,0.0545462842614783,0.0687440561500223,4934.19457967489,0.999626989422695
"17","sigma[9]",0.0460842209007255,7.22405051532742e-05,0.00592513901281164,0.0348885252136903,0.0422064400316811,0.0459817464085245,0.0496417932725309,0.0583664509184321,6727.21859069296,0.999478002938151
"18","sigma[10]",0.0458409807824973,6.79580047216048e-05,0.00561933385859366,0.0354635632459779,0.0420394140352843,0.045708614998048,0.0494155799567572,0.057157700180777,6837.35976738911,0.999752611848521
"19","sigma[11]",0.0539479271296849,0.000128347302151611,0.00787162154226419,0.0415455049069511,0.0484368906606094,0.0529156555308792,0.0583021509469371,0.0719329800558977,3761.44679023815,1.00053620893201
"20","sigma[12]",0.0509333290247411,9.25827183064094e-05,0.00644064597268852,0.039724141693852,0.0466573102759336,0.0504527224065626,0.0547903056635348,0.0653330113435419,4839.48334457085,0.999246914480937
"21","sigma[13]",0.0411191617860439,0.000117388436630368,0.00688383530042667,0.0269571780716035,0.0365590873797777,0.0413950801366905,0.0459474058846836,0.0541664994652825,3438.82681485503,1.00017181770399
"22","sigma[14]",0.0558081093086664,0.000174534677778576,0.00956160891938318,0.0411979738711173,0.0492504715377619,0.0542740131482443,0.0608736343339935,0.0786425595910777,3001.2245897255,1.00048019415908
"23","sigma[15]",0.0481073480633506,0.000111558789897,0.00878286138807152,0.032284430738848,0.0426438627949787,0.0473943206862894,0.0527055992390104,0.0683261368979043,6198.18404837361,0.999392086619073
"24","sigma[16]",0.042565512503636,9.58095559262777e-05,0.00593564625375184,0.0311620641686259,0.0385019787155068,0.0426556467814234,0.0465514842025859,0.0542597393434747,3838.11838651872,0.999867369023694
"25","sigma[17]",0.0505364392963229,9.97754659579394e-05,0.00766074550807933,0.0375524441518804,0.0454933459639651,0.0496355277287482,0.0547610814147914,0.0680675405184522,5895.14567098371,0.999669909352029
"26","sigma[18]",0.0469698298063265,0.000110227898356021,0.00823078173347495,0.0319105493886864,0.0417379255791046,0.046529326543664,0.0514138211274581,0.0646847739849397,5575.69637250794,0.999672577766909
"27","sigma[19]",0.0518483509912574,0.000119401829576958,0.00875297008426533,0.0377835586071285,0.0458931091264231,0.0507644203413147,0.0564874004412723,0.0720368075455293,5373.89189166706,0.999940535462326
"28","sigma[20]",0.0468439053433085,8.09413175045865e-05,0.00619246856231672,0.0356813081455285,0.042851651310456,0.0465404851917038,0.0505818574172572,0.0601107387803332,5853.11534162248,1.00002927806779
"29","sigma[21]",0.0445662457319476,8.38297477569891e-05,0.00617650737756275,0.0325831656720727,0.040557347116914,0.0443560000772635,0.0483974233193993,0.0576781582861108,5428.622098483,0.999632867681748
"30","sigma[22]",0.0439755478819926,8.34088662386174e-05,0.00603898113800855,0.0327144125846294,0.0397821256109988,0.0439019469806061,0.0479141017432955,0.0562510691178126,5242.07113933131,0.999895665115915
"31","sigma[23]",0.0431499968360755,9.1292129133331e-05,0.00586829200590483,0.0317927984785834,0.0392301765717668,0.0430829547435893,0.0470467529648651,0.0548730651316471,4131.96620269028,0.999487258718249
"32","sigma[24]",0.0505410286548883,9.82780831483141e-05,0.00676368083008512,0.0387208177611869,0.0459592654952116,0.0499228105300114,0.0544756895261741,0.0654919815778889,4736.44890487056,0.999751010398087
"33","sigma[25]",0.0512873114267825,8.31982923267145e-05,0.0062444265400075,0.0405242187568131,0.0470751979632498,0.0507191690678277,0.0550241837027773,0.0653309255620184,5633.21461168005,0.999417523940318
